Zone,District,Headquarter
"bagmati","bhaktapur","bhaktapur"
"bagmati","dhading","dhading besi"
"bagmati","kathmandu","kathmandu"
"bagmati","kavrepalanchok","dhulikhel"
"bagmati","lalitpur","patan"
"bagmati","nuwakot","bidur"
"bagmati","rasuwa","dhunche"
"bagmati","sindhupalchok","chautara"
"bheri","banke","nepalgunj"
"bheri","bardiya","gulariya"
"bheri","dailekh","dullu"
"bheri","jajarkot","khalanga"
"bheri","surkhet","surkhet"
"dhawalagiri","baglung","baglung"
"dhawalagiri","mustang","jomsom"
"dhawalagiri","myagdi","beni"
"dhawalagiri","parbat","kusma"
"gandaki","gorkha","gorkha"
"gandaki","kaski","pokhara"
"gandaki","lamjung","bensi sahar"
"gandaki","manang","chame"
"gandaki","syangja","syangja"
"gandaki","tanahu","damauli"
"janakpur","dhanusa","janakpur"
"janakpur","dholkha","charikot"
"janakpur","mahottari","jaleswor"
"janakpur","ramechhap","manthali"
"janakpur","sarlahi","malangwa"
"janakpur","sindhuli","sindhuli madhi"
"karnali","dolpa","dolpa"
"karnali","humla","simikot"
"karnali","jumla","jumla khalanga"
"karnali","kalikot","kalikot"
"karnali","mugu","gamgadhi"
"koshi","bhojpur","bhojpur"
"koshi","dhankuta","dhankuta"
"koshi","morang","biratnagar"
"koshi","sankhuwasabha","khandbari"
"koshi","sunsari","inaruwa"
"koshi","terhathum","manglung"
"lumbini","arghakhanchi","sandhikharka"
"lumbini","gulmi","tamghas"
"lumbini","kapilvastu","taulihawa"
"lumbini","nawalparasi","parasi"
"lumbini","palpa","tansen"
"lumbini","rupandehi","bhairahawa"
"mahakali","baitadi","baitadi"
"mahakali","dadeldhura","dadeldhura"
"mahakali","darchula","darchula"
"mahakali","kanchanpur","mahendara nagar"
"mechi","ilam","ilam"
"mechi","jhapa","chandragadhi"
"mechi","panchthar","phidim"
"mechi","taplejung","taplejung"
"narayani","bara","kalaiya"
"narayani","chitwan","bharatpur"
"narayani","makwanpur","hetauda"
"narayani","parsa","birgunj"
"narayani","rautahat","gaur"
"rapti","dang deukhuri","ghorahi"
"rapti","pyuthan","pyuthan khalanga"
"rapti","rolpa","liwang"
"rapti","rukum","musikot"
"rapti","salyan","salyan khalanga"
"sagarmatha","khotang","diktel"
"sagarmatha","okhaldhunga","okhaldhunga"
"sagarmatha","saptari","rajbiraj"
"sagarmatha","siraha","siraha"
"sagarmatha","solukhumbu","salleri"
"sagarmatha","udayapur","gaighat"
"seti","achham","mangalsen"
"seti","bajhang","chainpur"
"seti","bajura","martadi"
"seti","doti","dipayal"
"seti","kailali","dhangadhi"
